dataset,seed,proposed,baseline,metric,diff_mean,ci_low,ci_high
cmapss_fd001,2,full,lstm,auc_pr,-0.0643236900698471,-0.120356510822445,-0.0149594987892722
cmapss_fd001,2,full,tcn,f2,-0.0476610703818378,-0.0760347793073543,-0.0215932765673637
cmapss_fd001,2,full,tcn,auc_roc,-0.0029832210941595,-0.0051334002746531,-0.0012322792284845
cmapss_fd001,2,full,tcn,auc_pr,-0.0833686121401489,-0.1438079652745389,-0.0355390438177665
cmapss_fd001,2,full,timesnet,f2,-0.0240149749315448,-0.0683038376633834,0.0271208609070405
cmapss_fd001,2,full,timesnet,auc_roc,-0.0029452080715775,-0.0057728136876768,-0.0005748195836865
cmapss_fd001,2,full,timesnet,auc_pr,-0.0904333955505301,-0.1719193462614399,-0.0258685681945426
cmapss_fd001,2,proposed_lite,lstm,f2,-0.0823450479381472,-0.1594920972322458,-0.0112406927901469
cmapss_fd001,2,proposed_lite,lstm,auc_roc,-0.0073599006554548,-0.0183330440383979,-0.0010057026661153
cmapss_fd001,2,proposed_lite,lstm,auc_pr,-0.0729640748071708,-0.1273344938111175,-0.024902063667533
cmapss_fd001,2,proposed_lite,tcn,f2,-0.1006040585835998,-0.1740625838057842,-0.0436119706192403
cmapss_fd001,2,proposed_lite,tcn,auc_roc,-0.0082393466767408,-0.0191345779324281,-0.0019133423740763
cmapss_fd001,2,proposed_lite,tcn,auc_pr,-0.0920089968774726,-0.1561944702820231,-0.0399991703345039
cmapss_fd001,2,proposed_lite,timesnet,f2,-0.0769579631333067,-0.1507199217599122,-0.0142341030081649
cmapss_fd001,2,proposed_lite,timesnet,auc_roc,-0.0082013336541587,-0.017751030185807,-0.0025810641496324
cmapss_fd001,2,proposed_lite,timesnet,auc_pr,-0.0990737802878538,-0.1672760339340696,-0.0458015361993605
cmapss_fd001,3,full,lstm,f2,0.0306737982455585,-0.0262712377762402,0.0941766881181895
cmapss_fd001,3,full,lstm,auc_roc,-0.0001277204598528,-0.0022642770506951,0.0021672696190999
cmapss_fd001,3,full,lstm,auc_pr,-0.0064390671940886,-0.0645440129654047,0.0483358554783779
cmapss_fd001,3,full,tcn,f2,-0.0076498942401823,-0.0675006747622132,0.0515385074790654
cmapss_fd001,3,full,tcn,auc_roc,-0.0019679381243227,-0.0045398524293414,-1.769901878040658e-05
cmapss_fd001,3,full,tcn,auc_pr,-0.0553835457145297,-0.1369304176676352,-0.003184442805161
cmapss_fd001,3,full,timesnet,f2,-0.0072045505453297,-0.0590952699324186,0.0500081285558243
cmapss_fd001,3,full,timesnet,auc_roc,-0.0015606672707065,-0.0041867496600982,0.0003650852997135
cmapss_fd001,3,full,timesnet,auc_pr,-0.0426240623647812,-0.1261280608483126,0.0131421275356289
cmapss_fd001,3,proposed_lite,lstm,f2,0.0177264843130291,-0.0560548998642589,0.1041137557194513
cmapss_fd001,3,proposed_lite,lstm,auc_roc,-0.0026039930285134,-0.0062391717474921,0.0005545385440329
cmapss_fd001,3,proposed_lite,lstm,auc_pr,-0.0673940905608262,-0.150166740370584,0.0016169906396743
cmapss_fd001,3,proposed_lite,tcn,f2,-0.0205972081727117,-0.0764965437525263,0.0410074196319798
cmapss_fd001,3,proposed_lite,tcn,auc_roc,-0.0044442106929833,-0.0079268957540984,-0.0015301875502203
cmapss_fd001,3,proposed_lite,tcn,auc_pr,-0.1163385690812674,-0.2030959928548334,-0.0504932093906661
cmapss_fd001,3,proposed_lite,timesnet,f2,-0.0201518644778591,-0.0706812946713626,0.0363569239264199
