dataset,model,miss_cost,fp_cost,explain_cost,missed,false_alarms,detected,total_cost
cmapss_fd001,matched_tcn,100,0.5,5.0,2,2,23,201.0
cmapss_fd001,full_mc,100,0.5,0.0,1,2,24,101.0
cmapss_fd001,full_mc,100,0.5,0.25,1,2,24,107.5
cmapss_fd001,full_mc,100,0.5,0.5,1,2,24,114.0
cmapss_fd001,full_mc,100,0.5,1.0,1,2,24,127.0
cmapss_fd001,full_mc,100,0.5,2.0,1,2,24,153.0
cmapss_fd001,full_mc,100,0.5,5.0,1,2,24,231.0
cmapss_fd001,lite_mc,100,0.5,0.0,4,2,21,401.0
cmapss_fd001,lite_mc,100,0.5,0.25,4,2,21,406.75
cmapss_fd001,lite_mc,100,0.5,0.5,4,2,21,412.5
cmapss_fd001,lite_mc,100,0.5,1.0,4,2,21,424.0
cmapss_fd001,lite_mc,100,0.5,2.0,4,2,21,447.0
cmapss_fd001,lite_mc,100,0.5,5.0,4,2,21,516.0
cmapss_fd001,lite_no_attn_mc,100,0.5,0.0,1,3,24,101.5
cmapss_fd001,lite_no_attn_mc,100,0.5,0.25,1,3,24,101.5
cmapss_fd001,lite_no_attn_mc,100,0.5,0.5,1,3,24,101.5
cmapss_fd001,lite_no_attn_mc,100,0.5,1.0,1,3,24,101.5
cmapss_fd001,lite_no_attn_mc,100,0.5,2.0,1,3,24,101.5
cmapss_fd001,lite_no_attn_mc,100,0.5,5.0,1,3,24,101.5
cmapss_fd001,lite_no_mc,100,0.5,0.0,4,2,21,401.0
cmapss_fd001,lite_no_mc,100,0.5,0.25,4,2,21,406.75
cmapss_fd001,lite_no_mc,100,0.5,0.5,4,2,21,412.5
cmapss_fd001,lite_no_mc,100,0.5,1.0,4,2,21,424.0
cmapss_fd001,lite_no_mc,100,0.5,2.0,4,2,21,447.0
cmapss_fd001,lite_no_mc,100,0.5,5.0,4,2,21,516.0
cmapss_fd001,matched_tcn,100,1.0,0.0,2,2,23,202.0
cmapss_fd001,matched_tcn,100,1.0,0.25,2,2,23,202.0
cmapss_fd001,matched_tcn,100,1.0,0.5,2,2,23,202.0
cmapss_fd001,matched_tcn,100,1.0,1.0,2,2,23,202.0
cmapss_fd001,matched_tcn,100,1.0,2.0,2,2,23,202.0
cmapss_fd001,matched_tcn,100,1.0,5.0,2,2,23,202.0
cmapss_fd001,full_mc,100,1.0,0.0,1,2,24,102.0
cmapss_fd001,full_mc,100,1.0,0.25,1,2,24,108.5
cmapss_fd001,full_mc,100,1.0,0.5,1,2,24,115.0
cmapss_fd001,full_mc,100,1.0,1.0,1,2,24,128.0
cmapss_fd001,full_mc,100,1.0,2.0,1,2,24,154.0
cmapss_fd001,full_mc,100,1.0,5.0,1,2,24,232.0
cmapss_fd001,lite_mc,100,1.0,0.0,4,2,21,402.0
cmapss_fd001,lite_mc,100,1.0,0.25,4,2,21,407.75
cmapss_fd001,lite_mc,100,1.0,0.5,4,2,21,413.5
cmapss_fd001,lite_mc,100,1.0,1.0,4,2,21,425.0
cmapss_fd001,lite_mc,100,1.0,2.0,4,2,21,448.0
